track_id,track_popularity,track_album_id,processed_track_name,track_length,track_word_count,track_sentiment,processed_track_artist,artist_length,artist_word_count,artist_sentiment,processed_track_album_name,album_length,album_word_count,album_sentiment,track_album_release_year,track_album_release_month,track_album_release_day
3ri9fLG89OdSpjxheYxU7S,62,6C0am1pBvF0viIFsa0FZnp,muero,5,1,0.0,la quinta estacion,18,3,0.0,el mundo se equivoca,20,4,0.0,2006,8,15
0EXpZh6efFQ2FNjw3DrpX9,30,1F9DrqURhPNNdANutl70SB,magic,5,1,0.5,boh doran,9,2,0.0,magic feat daer,15,3,0.5,2019,10,18
25Ril0FCw9THikD42bdOI7,1,1B6nlZKCMmawwnnijTeH3I,get floor,9,2,0.0,dmx,3,1,0.0,best dmx,8,2,1.0,2010,1,1
3RZftiuTcLOqpsd8ZlwNhr,82,24jAbLMFzCTlIv3kQ94HwK,hop jet feat travis scott,25,5,0.0,young thug,10,2,0.1,much fun deluxe,15,3,0.44999999999999996,2019,12,20
68IM0wOuxlrbwk0zgmi9dk,3,5U3tO3xfGNvuq5FZ8SrZs9,lil bit,7,2,0.0,50 cent,7,2,0.0,massacre,8,1,0.0,2005,3,3
1Tb6uFyZgr9FYWDIBRCO0x,38,1nbJRfWy7b7MmQjF7zNdq6,feel,4,1,0.0,victor,6,1,0.0,feel,4,1,0.0,2016,10,14
7JXLHs3JxQ0sibWrYeV1co,48,0zVyJNm2mWXHXnxYKv8t6a,bankroll,8,1,0.0,taz,3,1,0.0,till death u part iii,21,5,0.0,2019,4,7
1HzTvjlL2z1ok5QzfDvPrp,0,3tBZoofBxnP0BvdeagB2Si,life feat chris willis,22,4,0.0,david guetta,12,2,0.0,one love,8,2,0.5,2009,8,24
6cTGIsgnvU6Uz7AwfuVq64,18,2PJ1QoAJhgj1EBMciyPLfE,heaven gangsta,14,2,0.0,master p,8,2,0.0,best master p,13,3,1.0,2005,1,1
6TKdsVl3GeAJrcuTGbvUzq,49,6j0sCAm0cmrq0sPpcjttjn,la fortuna feat tommy torres,28,5,0.0,diana fuentes,13,2,0.0,libre,5,1,0.0,2019,4,12
2xyx0o4xNOLLjBSbOOdcbA,80,1qgJNWnPIeK9rx7hF8JCPK,playing game bryson tiller extended version,43,6,-0.4,summer walker,13,2,0.0,,0,0,0.0,2019,10,4
0qkSoNs7zsJDOhsgORAzEf,49,1b2fSQdS8cNGd2iMyobKwB,orange cooky,12,2,0.0,joven btz,9,2,0.0,orange cooky,12,2,0.0,2019,12,13
273poy5BHtv5YFedkWIqwj,53,7lyFqWFcHcQCk8YXJo6hiK,nothing original mix,20,3,0.375,hnny,4,1,0.0,nothing,7,1,0.0,2015,2,1
0xZNXAlGkRrBm9yi4xJHGi,5,2RC7dOjBPyulZltbR474yN,cruel world,11,2,-1.0,seeb,4,1,0.0,cruel world,11,2,-1.0,2017,11,10
56FtGMGdOoONvc0XpP4Bm6,30,7i1rpVKpqYqBJ2OJtv8pHT,night ship,10,2,0.0,yosea,5,1,0.0,night ship,10,2,0.0,2020,1,15
7qQnBfwXrw2tZNFG4Uf57N,16,0C8Poy7zwJ1kQh2sldyvHm,livin prayer,12,2,0.0,bon jovi,8,2,0.0,bon jovi greatest hit,21,4,1.0,2010,1,1
3VEpvUAoN9UBaN2NZ6JW29,14,56hgRT0x0Et8u6I3NYatFd,timber,6,1,0.0,sancii,6,1,0.0,timber,6,1,0.0,2019,7,19
77vC5gu81gOMLHgLA0YPAd,56,1U5iv3OkLdRJ1CJ9EUmLv5,hey mama,8,2,0.0,geko,4,1,0.0,hey mama,8,2,0.0,2019,7,4
7DOh0tBGnyMt6C5OO7o8Yq,75,5zbO01D6uIqC2ejQSQEN2O,nada,4,1,0.0,cazzu,5,1,0.0,error 93,8,2,0.0,2019,6,3
6yDFQ5pSSYm898mHT9J96d,45,7vA0dvRcAWoZxdWwRCkz3I,e poi ti penti,14,4,0.0,alberto urso,12,2,0.0,il sole ad est,14,4,0.0,2019,10,31
2fTsFCKRFQ5M0igJgabnLA,70,0BZbTNqpXFg6lxNv78X7Lp,price tag,9,2,0.0,jessie j,8,2,0.0,platinum edition,16,2,0.0,2011,1,1
3yL6iLEcVpOQzPFjYKh67A,29,2AgTKAULjbHpqqtyI53hdp,return mecca,12,2,0.0,pete rock cl smooth,19,4,0.4,mecca soul brother,18,3,0.0,1992,5,26
3ee8Jmje8o58CHK66QrVC2,87,2Ti79nwTsont5ZHfdxIzAm,sad,3,1,-0.5,xxxtentacion,12,1,0.0,,0,0,0.0,2018,3,16
4xB8DfbPm18bflN7fI5c1w,12,4nlRDVViNwGwazr0ttQmZe,stand,5,1,0.0,motorhead,9,1,0.0,collection,10,1,0.0,2007,5,18
6PGoSes0D9eUDeeAafB2As,80,4eLPsYPBmXABThSJ821sqY,love feat zacari,16,3,0.5,kendrick lamar,14,2,0.0,damn,4,1,0.0,2017,4,14
43Q1jBoHh3pQkh3Oy7TA1g,61,3YaVOBiqBRLfWRQVDO32hI,tan bien feat agus padilla,26,5,0.0,lit killah,10,2,0.0,tan bien feat agus padilla,26,5,0.0,2018,11,29
6kn5z6hltWF6C9rItSvAzA,40,0PkkUYZMtKN25rvrt50EhX,cool,4,1,0.35,babyface,8,1,0.0,cool,4,1,0.35,1993,8,24
08s6gVAGNsmTOWDPfjpn6A,45,27p8wYLR7rNPjL9TndZvtP,right,5,1,0.2857142857142857,perfect pitch,13,2,1.0,right,5,1,0.2857142857142857,2019,8,23
65nxwwEt3wwNv5hFqUQWph,50,2jLAqtOVud3faj6AsgHaAc,tapping,7,1,0.0,issue,5,1,0.0,tapping,7,1,0.0,2019,5,3
1ZZZO1HhRYkCeY545WzBUw,34,33lrptYaoQiDsAcZPXKFna,janies got gun single version,29,5,-0.07142857142857142,aerosmith,9,1,0.0,tough love best ballad,22,4,0.3703703703703704,2011,1,1
4etV43Qb0OBbMcxiLDVwSo,69,6K8akCaxHlpM3O3xFGh4gs,memoria rota,12,2,0.0,arcangel,8,1,0.0,memoria rota,12,2,0.0,2019,10,25
